,sigma,Al_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
32,0.2,1,-5,1200.0,91.0,17296,job__16_773607__1200_000000__91_0,14536942,-3.75025653,1583.2691133284056,-3.75025653,16.773606459151882,0.0233364699999998
33,0.2,1,-5,1200.0,91.0,17296,job__16_939682__1200_000000__91_0,14536944,-3.7484197,1598.9483817715916,-3.7484197,16.939681953301676,0.0231639500000002
34,0.2,1,-5,1200.0,91.0,17296,job__17_105757__1200_000000__91_0,14536947,-3.74589161,1614.6379558130554,-3.74589161,17.10575721381869,0.0230007099999998
35,0.2,1,-5,1200.0,91.0,17296,job__17_271832__1200_000000__91_0,14536948,-3.74271044,1630.2995988433738,-3.74271044,17.27183243090437,0.0095804799999998
36,0.2,1,-5,1200.0,91.0,17296,job__17_437908__1200_000000__91_0,14536951,-3.73891242,1645.9740289899692,-3.73891242,17.437907747684182,0.0227014999999997
37,0.2,1,-5,1200.0,91.0,17296,job__17_603983__1200_000000__91_0,14536953,-3.7345326,1661.6581808482545,-3.7345326,17.603983242532642,0.0225631599999998
38,0.2,1,-5,1200.0,91.0,17296,job__17_770058__1200_000000__91_0,14536956,-3.72960478,1677.3245692841151,-3.72960478,17.77005839674023,0.0224305799999999
39,0.2,1,-5,1200.0,91.0,17296,job__17_936134__1200_000000__91_0,14536959,-3.72416102,1693.0010536498885,-3.72416102,17.936133873999818,0.0223024400000002
40,0.2,1,-5,1200.0,91.0,17296,job__18_102209__1200_000000__91_0,14536962,-3.71823175,1708.6896324301226,-3.71823175,18.102208937228124,0.0221782399999996
41,0.2,1,-5,1200.0,91.0,17296,job__18_268284__1200_000000__91_0,14536965,-3.71184586,1724.3516894891125,-3.71184586,18.268284275394777,0.0220579899999999
