,sigma,Al_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
34,0.2,1,-5,220.0,11.0,56,job__16_950504__220_000000__11_0,14537201,-3.74203231,125.83546205860256,-3.73853231,16.95050393855773,0.02285993
35,0.2,1,-5,220.0,11.0,56,job__17_115072__220_000000__11_0,14537202,-3.73950942,126.82719759579264,-3.73600942,17.11507206741567,0.0226822499999999
36,0.2,1,-5,220.0,11.0,56,job__17_279640__220_000000__11_0,14537203,-3.73635564,128.07137490608565,-3.73285564,17.27964009818471,0.0225129199999996
37,0.2,1,-5,220.0,11.0,56,job__17_444208__220_000000__11_0,14537204,-3.73256924,129.29752066115702,-3.72906924,17.44420790217213,0.0223551399999997
38,0.2,1,-5,220.0,11.0,56,job__17_608776__220_000000__11_0,14537205,-3.72819345,130.32531930879037,-3.72469345,17.608776029999344,0.0222034500000001
39,0.2,1,-5,220.0,11.0,56,job__17_773344__220_000000__11_0,14537206,-3.72338308,131.64162283996995,-3.71988308,17.7733439162409,0.02205718
40,0.2,1,-5,220.0,11.0,56,job__17_937912__220_000000__11_0,14537207,-3.71797206,132.86776859504133,-3.71447206,17.937911902437854,0.0219148499999999
41,0.2,1,-5,220.0,11.0,56,job__18_102480__220_000000__11_0,14537208,-3.71209447,133.82945154019535,-3.70859447,18.102479948783508,0.02180909
42,0.2,1,-5,240.0,11.0,56,job__14_811120__240_000000__11_0,14537209,-3.69709066,124.9519158527423,-3.69419066,14.811120005160475,0.02650664
43,0.2,1,-5,240.0,11.0,56,job__14_975688__240_000000__11_0,14537210,-3.70738042,126.59278737791136,-3.70448042,14.975687943223765,0.0260931000000002
44,0.2,1,-5,240.0,11.0,56,job__15_140256__240_000000__11_0,14537211,-3.71622273,127.65664913598798,-3.71332273,15.1402559281593,0.0257091599999998
45,0.2,1,-5,240.0,11.0,56,job__15_304824__240_000000__11_0,14537212,-3.72387733,129.29752066115702,-3.72097733,15.304824014040012,0.0253549399999997
46,0.2,1,-5,240.0,11.0,56,job__15_469392__240_000000__11_0,14537213,-3.73027878,130.6679188580015,-3.72737878,15.46939195324227,0.0250273700000001
47,0.2,1,-5,240.0,11.0,56,job__15_633960__240_000000__11_0,14537214,-3.73560061,131.67768595041323,-3.73270061,15.633960106125867,0.0247189699999998
48,0.2,1,-5,240.0,11.0,56,job__15_798528__240_000000__11_0,14537215,-3.73985302,133.480841472577,-3.73695302,15.7985280109301,0.0244344
49,0.2,1,-5,240.0,11.0,56,job__15_963096__240_000000__11_0,14537216,-3.74305302,134.89331329827198,-3.74015302,15.963096009423694,0.02416989
50,0.2,1,-5,240.0,11.0,56,job__16_127664__240_000000__11_0,14537217,-3.74525682,136.15552216378663,-3.74235682,16.127664046770466,0.0239268400000001
51,0.2,1,-5,240.0,11.0,56,job__16_292232__240_000000__11_0,14537218,-3.74658235,137.6701728024042,-3.74368235,16.292231879585028,0.02369653
52,0.2,1,-5,240.0,11.0,56,job__16_456800__240_000000__11_0,14537219,-3.74706931,138.93688955672428,-3.74416931,16.456800027713822,0.0234772899999997
53,0.2,1,-5,240.0,11.0,56,job__16_621368__240_000000__11_0,14537220,-3.74669006,140.16303531179565,-3.74379006,16.621368057364204,0.02327447
54,0.2,1,-5,240.0,11.0,56,job__16_785936__240_000000__11_0,14537221,-3.74558902,141.7137490608565,-3.74268902,16.785936017329465,0.0230867299999997
55,0.2,1,-5,240.0,11.0,56,job__16_950504__240_000000__11_0,14537222,-3.74371509,142.91284748309542,-3.74081509,16.95050393855773,0.0229078799999999
56,0.2,1,-5,240.0,11.0,56,job__17_115072__240_000000__11_0,14537223,-3.74119723,144.4815927873779,-3.73829723,17.11507206741567,0.0227371199999999
57,0.2,1,-5,240.0,11.0,56,job__17_279640__240_000000__11_0,14537224,-3.73805921,146.1404958677686,-3.73515921,17.27964009818471,0.02257539
58,0.2,1,-5,240.0,11.0,56,job__17_444208__240_000000__11_0,14537225,-3.7342232,147.22839969947407,-3.7313232,17.44420790217213,0.0224201299999999
59,0.2,1,-5,240.0,11.0,56,job__17_608776__240_000000__11_0,14537226,-3.72985798,148.72501878287002,-3.72695798,17.608776029999344,0.02227368
60,0.2,1,-5,240.0,11.0,56,job__17_773344__240_000000__11_0,14537227,-3.72493962,150.04132231404958,-3.72203962,17.7733439162409,0.02213141
61,0.2,1,-5,240.0,11.0,56,job__17_937912__240_000000__11_0,14537228,-3.71953329,151.41172051089407,-3.71663329,17.937911902437854,0.0219927599999998
62,0.2,1,-5,240.0,11.0,56,job__18_102480__240_000000__11_0,14537229,-3.71364807,152.74605559729525,-3.71074807,18.102479948783508,0.0218930199999998
63,0.2,1,-5,260.0,11.0,56,job__14_811120__260_000000__11_0,14537230,-3.6987544,140.9023290758828,-3.6965544,14.811120005160475,0.0265088499999999
64,0.2,1,-5,260.0,11.0,56,job__14_975688__260_000000__11_0,14537231,-3.70900156,142.2817430503381,-3.70680156,14.975687943223765,0.02610058
65,0.2,1,-5,260.0,11.0,56,job__15_140256__260_000000__11_0,14537232,-3.71788944,144.22915101427498,-3.71568944,15.1402559281593,0.0257235399999999
66,0.2,1,-5,260.0,11.0,56,job__15_304824__260_000000__11_0,14537233,-3.72549566,145.5815176558978,-3.72329566,15.304824014040012,0.02537213
67,0.2,1,-5,260.0,11.0,56,job__15_469392__260_000000__11_0,14537234,-3.73191496,147.22839969947407,-3.72971496,15.46939195324227,0.0250473699999997
68,0.2,1,-5,260.0,11.0,56,job__15_633960__260_000000__11_0,14537235,-3.73717626,148.72501878287002,-3.73497626,15.633960106125867,0.0247468199999998
69,0.2,1,-5,260.0,11.0,56,job__15_798528__260_000000__11_0,14537236,-3.74140295,150.3839218632607,-3.73920295,15.7985280109301,0.02446685
70,0.2,1,-5,260.0,11.0,56,job__15_963096__260_000000__11_0,14537237,-3.7446122,152.0969196093163,-3.7424122,15.963096009423694,0.0242037299999999
71,0.2,1,-5,260.0,11.0,56,job__16_127664__260_000000__11_0,14537238,-3.74680572,153.381667918858,-3.74460572,16.127664046770466,0.0239623200000003
72,0.2,1,-5,260.0,11.0,56,job__16_292232__260_000000__11_0,14537239,-3.7481725,155.2930127723516,-3.7459725,16.292231879585028,0.02373753
