,sigma,Au_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
34,0.2,1,-5,220.0,11.0,56,job__18_517649__220_000000__11_0,14539719,4.16813321,137.21938392186323,10.07893321,18.517648993743016,0.0001006500000002
35,0.2,1,-5,220.0,11.0,56,job__18_697432__220_000000__11_0,14539720,4.11622886,138.6123215627348,10.02702886,18.697431994219205,0.1899746799999997
36,0.2,1,-5,220.0,11.0,56,job__18_877215__220_000000__11_0,14539722,4.11385331,139.91059353869272,10.02465331,18.87721508127356,0.1841038299999997
37,0.2,1,-5,220.0,11.0,56,job__19_056998__220_000000__11_0,14539723,4.08349526,141.31705484598046,9.99429526,19.056998124961535,0.0010646599999999
38,0.2,1,-5,220.0,11.0,56,job__19_236781__220_000000__11_0,14539725,4.31001729,142.2817430503381,10.22081729,19.236780915397716,0.0010952599999995
39,0.2,1,-5,220.0,11.0,56,job__19_416564__220_000000__11_0,14539727,4.1163353,143.97670924117205,10.0271353,19.41656396353312,0.0010927899999995
40,0.2,1,-5,220.0,11.0,56,job__19_596347__220_000000__11_0,14539728,4.13855742,145.2389181066867,10.04935742,19.596347134465297,0.0011426100000004
41,0.2,1,-5,220.0,11.0,56,job__19_776130__220_000000__11_0,14539730,4.18925003,146.519158527423,10.10005003,19.77612988878544,0.0011405799999995
42,0.2,1,-5,240.0,11.0,56,job__16_180470__240_000000__11_0,14539732,-0.463607,136.75056348610067,2.483893,16.180470069950175,0.00017304
43,0.2,1,-5,240.0,11.0,56,job__16_360253__240_000000__11_0,14539734,-0.50121791,138.24718256949663,2.4462820899999995,16.36025295388404,0.0536818999999999
44,0.2,1,-5,240.0,11.0,56,job__16_540036__240_000000__11_0,14539736,-0.53492285,139.7663410969196,2.41257715,16.540035900560717,0.04902306
45,0.2,1,-5,240.0,11.0,56,job__16_719819__240_000000__11_0,14539738,-0.56088255,141.31705484598046,2.38661745,16.719819008406734,0.92629873
46,0.2,1,-5,240.0,11.0,56,job__16_899602__240_000000__11_0,14539740,-0.47293575,142.48009015777612,2.47456425,16.89960207716002,0.93418181
47,0.2,1,-5,240.0,11.0,56,job__17_079385__240_000000__11_0,14539741,-0.54704962,144.22915101427498,2.40045038,17.079385071350796,0.0391868499999999
48,0.2,1,-5,240.0,11.0,56,job__17_259168__240_000000__11_0,14539744,-0.52913415,145.5815176558978,2.41836585,17.259168100301405,0.03357721
49,0.2,1,-5,240.0,11.0,56,job__17_438951__240_000000__11_0,14539745,-0.50293622,146.97595792637114,2.44456378,17.43895088988555,0.0310640899999999
50,0.2,1,-5,240.0,11.0,56,job__17_618734__240_000000__11_0,14539747,-0.58070213,148.72501878287002,2.36679787,17.61873402496699,0.0001592799999999
51,0.2,1,-5,240.0,11.0,56,job__17_798517__240_000000__11_0,14539749,-0.62991705,150.3839218632607,2.31758295,17.798516894651115,0.02103034
52,0.2,1,-5,240.0,11.0,56,job__17_978300__240_000000__11_0,14539751,-0.54080662,151.55597295266716,2.40669338,17.978299963988007,0.0001524999999999
53,0.2,1,-5,240.0,11.0,56,job__18_158083__240_000000__11_0,14539753,-0.52153194,152.96243425995493,2.42596806,18.15808296150213,0.0166544299999999
54,0.2,1,-5,240.0,11.0,56,job__18_337866__240_000000__11_0,14539755,-0.57973141,154.7160030052592,2.36776859,18.337865885509167,0.01337198
55,0.2,1,-5,240.0,11.0,56,job__18_517649__240_000000__11_0,14539757,-0.63802345,156.46506386175807,2.30947655,18.517648993743016,0.0101472499999999
56,0.2,1,-5,240.0,11.0,56,job__18_697432__240_000000__11_0,14539758,-0.63368197,157.96168294515402,2.31381803,18.697431994219205,0.0076266899999999
57,0.2,1,-5,240.0,11.0,56,job__18_877215__240_000000__11_0,14539760,-0.61241598,159.38617580766342,2.33508402,18.87721508127356,0.0061392599999999
58,0.2,1,-5,240.0,11.0,56,job__19_056998__240_000000__11_0,14539761,-0.60621755,160.88880540946656,2.34128245,19.056998124961535,0.00429557
59,0.2,1,-5,240.0,11.0,56,job__19_236781__240_000000__11_0,14539762,-0.66009208,162.65589782118707,2.28740792,19.236780915397716,0.00266105
60,0.2,1,-5,240.0,11.0,56,job__19_416564__240_000000__11_0,14539763,-0.54252557,163.73779113448535,2.40497443,19.41656396353312,0.0025201299999999
61,0.2,1,-5,240.0,11.0,56,job__19_596347__240_000000__11_0,14539764,-0.55287314,165.29752066115702,2.39462686,19.596347134465297,0.0010858999999999
62,0.2,1,-5,240.0,11.0,56,job__19_776130__240_000000__11_0,14539765,-0.56996788,166.93839218632607,2.37753212,19.77612988878544,0.01914588
63,0.2,1,-5,260.0,11.0,56,job__16_180470__260_000000__11_0,14539766,-2.0123744,153.9947407963937,-0.6909744000000002,16.180470069950175,0.00375695
64,0.2,1,-5,260.0,11.0,56,job__16_360253__260_000000__11_0,14539768,-2.06318846,155.9601803155522,-0.7417884600000002,16.36025295388404,0.0589965599999997
65,0.2,1,-5,260.0,11.0,56,job__16_540036__260_000000__11_0,14539769,-2.10182939,157.79939894815928,-0.7804293899999999,16.540035900560717,4.3139999999830536e-05
66,0.2,1,-5,260.0,11.0,56,job__16_719819__260_000000__11_0,14539770,-2.10100594,159.31404958677686,-0.7796059399999999,16.719819008406734,4.385999999989565e-05
67,0.2,1,-5,260.0,11.0,56,job__16_899602__260_000000__11_0,14539771,-2.10349489,160.88880540946656,-0.78209489,16.89960207716002,0.0034113499999999
68,0.2,1,-5,260.0,11.0,56,job__17_079385__260_000000__11_0,14539772,-2.12249789,162.65589782118707,-0.8010978900000001,17.079385071350796,0.0527785299999998
69,0.2,1,-5,260.0,11.0,56,job__17_259168__260_000000__11_0,14539773,-2.10565425,164.09842223891812,-0.7842542500000003,17.259168100301405,0.0511883699999997
70,0.2,1,-5,260.0,11.0,56,job__17_438951__260_000000__11_0,14539775,-2.14201864,166.0909090909091,-0.82061864,17.43895088988555,0.0499724000000001
71,0.2,1,-5,260.0,11.0,56,job__17_618734__260_000000__11_0,14539777,-2.13964614,167.7137490608565,-0.8182461400000001,17.61873402496699,0.00389199
72,0.2,1,-5,260.0,11.0,56,job__17_798517__260_000000__11_0,14539779,-2.1506873,169.4267468069121,-0.8292873000000001,17.798516894651115,0.0472998900000001
73,0.2,1,-5,260.0,11.0,56,job__17_978300__260_000000__11_0,14539781,-2.15919485,171.2344102178813,-0.8377948500000001,17.978299963988007,0.00432033
74,0.2,1,-5,260.0,11.0,56,job__18_158083__260_000000__11_0,14539782,-2.16052985,172.94740796393688,-0.8391298500000002,18.15808296150213,0.00448972
75,0.2,1,-5,260.0,11.0,56,job__18_337866__260_000000__11_0,14539784,-2.15991416,174.6604057099925,-0.8385141600000001,18.337865885509167,1.0042706899999998
76,0.2,1,-5,260.0,11.0,56,job__18_517649__260_000000__11_0,14539786,-2.13873515,176.16303531179565,-0.8173351500000001,18.517648993743016,1.0087604199999998
77,0.2,1,-5,260.0,11.0,56,job__18_697432__260_000000__11_0,14539788,-2.12085426,177.76784372652142,-0.7994542600000003,18.697431994219205,0.0048434199999998
78,0.2,1,-5,260.0,11.0,56,job__18_877215__260_000000__11_0,14539790,-2.1581719,179.89556724267467,-0.8367719000000002,18.87721508127356,0.0051098999999998
79,0.2,1,-5,260.0,11.0,56,job__19_056998__260_000000__11_0,14539792,-2.12860317,181.33809166040567,-0.80720317,19.056998124961535,0.0051790400000002
80,0.2,1,-5,260.0,11.0,56,job__19_236781__260_000000__11_0,14539794,-2.14281305,183.35762584522917,-0.8214130500000001,19.236780915397716,0.0052461699999999
81,0.2,1,-5,260.0,11.0,56,job__19_416564__260_000000__11_0,14539795,-2.12065978,184.8903080390684,-0.7992597800000001,19.41656396353312,0.0053136299999998
82,0.2,1,-5,260.0,11.0,56,job__19_596347__260_000000__11_0,14539798,-2.10975263,186.603305785124,-0.7883526300000001,19.596347134465297,0.0053829599999999
83,0.2,1,-5,260.0,11.0,56,job__19_776130__260_000000__11_0,14539799,-2.08549022,188.15852742299023,-0.7640902200000002,19.77612988878544,0.0054543200000001
84,0.2,1,-5,280.0,11.0,56,job__16_180470__280_000000__11_0,14539801,-2.37951989,172.1540195341848,-1.84191989,16.180470069950175,0.0661353399999997
85,0.2,1,-5,280.0,11.0,56,job__16_360253__280_000000__11_0,14539803,-2.39662498,173.9030803906837,-1.85902498,16.36025295388404,0.0645466699999999
86,0.2,1,-5,280.0,11.0,56,job__16_540036__280_000000__11_0,14539805,-2.42300029,176.0007513148009,-1.88540029,16.540035900560717,0.0630132599999999
87,0.2,1,-5,280.0,11.0,56,job__16_719819__280_000000__11_0,14539807,-2.43247492,177.74981217129977,-1.8948749200000004,16.719819008406734,0.0614547299999999
88,0.2,1,-5,280.0,11.0,56,job__16_899602__280_000000__11_0,14539809,-2.45532138,179.89556724267467,-1.91772138,16.89960207716002,0.0600476200000001
89,0.2,1,-5,280.0,11.0,56,job__17_079385__280_000000__11_0,14539811,-2.46809872,181.8610067618332,-1.93049872,17.079385071350796,0.0585975300000001
90,0.2,1,-5,280.0,11.0,56,job__17_259168__280_000000__11_0,14539813,-2.47541119,183.73628850488356,-1.93781119,17.259168100301405,0.0056902899999999
91,0.2,1,-5,280.0,11.0,56,job__17_438951__280_000000__11_0,14539815,-2.48388407,185.70172802404207,-1.9462840700000004,17.43895088988555,0.0558579599999999
92,0.2,1,-5,280.0,11.0,56,job__17_618734__280_000000__11_0,14539816,-2.4746226,187.1442524417731,-1.9370226,17.61873402496699,0.0544562499999998
93,0.2,1,-5,280.0,11.0,56,job__17_798517__280_000000__11_0,14539818,-2.48424135,189.31254695717504,-1.94664135,17.798516894651115,0.0531748200000001
94,0.2,1,-5,280.0,11.0,56,job__17_978300__280_000000__11_0,14539820,-2.48515979,191.20285499624345,-1.94755979,17.978299963988007,1.03534909
95,0.2,1,-5,280.0,11.0,56,job__18_158083__280_000000__11_0,14539822,-2.48395528,193.0961682945154,-1.94635528,18.15808296150213,0.0501141099999999
96,0.2,1,-5,280.0,11.0,56,job__18_337866__280_000000__11_0,14539824,-2.48307397,195.0796393688956,-1.94547397,18.337865885509167,0.0488392700000002
97,0.2,1,-5,280.0,11.0,56,job__18_517649__280_000000__11_0,14539826,-2.48133883,197.099173553719,-1.94373883,18.517648993743016,0.0475732799999999
