,sigma,Pb_d,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
29,0.2,1,-5,1200.0,91.0,17296,job__30_018625__1200_000000__91_0,14537020,-3.54692365,2833.4716025430916,-3.54682365,30.018625451371204,0.16256877999999997
30,0.2,1,-5,1200.0,91.0,17296,job__30_321844__1200_000000__91_0,14537023,-3.55200577,2862.119191157834,-3.55190577,30.32184375000001,0.16344201000000025
31,0.2,1,-5,1200.0,91.0,17296,job__30_625062__1200_000000__91_0,14537025,-3.55612355,2890.7333973839227,-3.55602355,30.625062122136065,0.16527647000000023
32,0.2,1,-5,1200.0,91.0,17296,job__30_928281__1200_000000__91_0,14537028,-3.55932886,2919.3404748855783,-3.5592288599999997,30.928280767962324,0.010910620000000204
33,0.2,1,-5,1200.0,91.0,17296,job__31_231499__1200_000000__91_0,14537031,-3.56167231,2947.965976663115,-3.56157231,31.231498902301258,0.010579889999999814
34,0.2,1,-5,1200.0,91.0,17296,job__31_534718__1200_000000__91_0,14537033,-3.56320069,2976.591982706341,-3.5631006899999997,31.534717331926625,0.010263880000000114
35,0.2,1,-5,1200.0,91.0,17296,job__31_837936__1200_000000__91_0,14537035,-3.56395845,3005.2091083653695,-3.5638584499999997,31.837935819160016,0.0099595400000001
36,0.2,1,-5,1200.0,91.0,17296,job__32_141154__1200_000000__91_0,14537037,-3.56398636,3033.824561985533,-3.5638863599999997,32.14115454713471,0.009671500000000055
37,0.2,1,-5,1200.0,91.0,17296,job__32_444373__1200_000000__91_0,14537039,-3.56332305,3062.4402332361515,-3.56322305,32.44437295168965,0.009392590000000034
38,0.2,1,-5,1200.0,91.0,17296,job__32_747591__1200_000000__91_0,14537041,-3.56200361,3091.0605596552946,-3.56190361,32.74759121847277,0.009125210000000106
39,0.2,1,-5,1200.0,91.0,17296,job__33_354028__1200_000000__91_0,14537048,-3.55753659,3148.318978570035,-3.55743659,33.35402829127413,0.0013261299999998144
