,sigma,Pb_d,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
33,0.2,1,-5,220.0,11.0,56,job__32_640918__220_000000__11_0,14551602,-3.54129161,241.64913598797895,-3.42099161,32.640917926556206,6.234999999987778e-05
34,0.2,1,-5,220.0,11.0,56,job__32_960927__220_000000__11_0,14551606,-3.54063215,244.2877535687453,-3.42033215,32.96092694820336,0.0012704000000001159
35,0.2,1,-5,220.0,11.0,56,job__33_280936__220_000000__11_0,14551611,-3.53571151,246.17205108940647,-3.41541151,33.28093585488319,0.0011524600000001328
36,0.2,1,-5,220.0,11.0,56,job__33_600945__220_000000__11_0,14551615,-3.53426356,248.93538692712247,-3.41396356,33.60094497602181,0.0010682000000001857
37,0.2,1,-5,220.0,11.0,56,job__33_920954__220_000000__11_0,14551622,-3.52982173,251.17129977460556,-3.4095217300000003,33.92095391909316,0.0009673499999998114
38,0.2,1,-5,220.0,11.0,56,job__34_240963__220_000000__11_0,14551625,-3.5261715,253.69571750563486,-3.4058715,34.24096311123453,0.0008802700000001273
39,0.2,1,-5,220.0,11.0,56,job__34_560972__220_000000__11_0,14551629,-3.52248298,256.3463561232156,-3.40218298,34.56097219244739,0.0007993399999999262
40,0.2,1,-5,220.0,11.0,56,job__34_880981__220_000000__11_0,14551634,-3.5159577,258.4740796393689,-3.3956577,34.88098117400507,0.0007021400000000177
41,0.2,1,-5,220.0,11.0,56,job__35_200990__220_000000__11_0,14551639,-3.51103995,261.08865514650637,-3.39073995,35.20099001770926,0.0006231300000001383
42,0.2,1,-5,240.0,11.0,56,job__28_800810__240_000000__11_0,14551644,-3.51545801,243.49436513899323,-3.4471580100000003,28.800810132360436,0.00017465999999988213
43,0.2,1,-5,240.0,11.0,56,job__29_120819__240_000000__11_0,14551647,-3.52503455,245.49586776859505,-3.45673455,29.120818939160543,0.003352099999999858
44,0.2,1,-5,240.0,11.0,56,job__29_440828__240_000000__11_0,14551652,-3.53393821,248.5206611570248,-3.4656382100000003,29.440828149658053,0.003204779999999907
45,0.2,1,-5,240.0,11.0,56,job__29_760837__240_000000__11_0,14551657,-3.5413513,251.17129977460556,-3.4730513000000003,29.76083694084091,0.0030616000000001087
46,0.2,1,-5,240.0,11.0,56,job__30_080846__240_000000__11_0,14551661,-3.54759602,253.82193839218633,-3.47929602,30.080846067068347,0.0029251299999999425
47,0.2,1,-5,240.0,11.0,56,job__30_400855__240_000000__11_0,14551667,-3.55263515,256.4365138993238,-3.48433515,30.40085492318715,0.0028422300000001677
48,0.2,1,-5,240.0,11.0,56,job__30_720864__240_000000__11_0,14551671,-3.55679027,259.4297520661157,-3.4884902700000002,30.720864044920372,0.002719920000000098
49,0.2,1,-5,240.0,11.0,56,job__31_040873__240_000000__11_0,14551674,-3.55957626,261.85199098422237,-3.4912762600000002,31.04087286482069,0.002598630000000046
50,0.2,1,-5,240.0,11.0,56,job__31_360882__240_000000__11_0,14551678,-3.56181698,264.93538692712247,-3.4935169800000003,31.360881886549734,0.0024896299999999094
51,0.2,1,-5,240.0,11.0,56,job__31_680891__240_000000__11_0,14551682,-3.56283275,267.45980465815177,-3.4945327500000003,31.68089116735626,0.002379979999999726
52,0.2,1,-5,240.0,11.0,56,job__32_000900__240_000000__11_0,14551686,-3.56310857,270.11495116453796,-3.49480857,32.000899882353664,0.0022744800000000787
53,0.2,1,-5,240.0,11.0,56,job__32_320909__240_000000__11_0,14551690,-3.56268534,272.9819684447784,-3.49438534,32.32090894216323,3.991000000036493e-05
54,0.2,1,-5,240.0,11.0,56,job__32_640918__240_000000__11_0,14551693,-3.5614514,275.68670172802405,-3.4931514000000004,32.640917926556206,0.0020782200000000195
55,0.2,1,-5,240.0,11.0,56,job__32_960927__240_000000__11_0,14551697,-3.55933472,278.12997746055595,-3.49103472,32.96092694820336,0.001981600000000139
56,0.2,1,-5,240.0,11.0,56,job__33_280936__240_000000__11_0,14551700,-3.55666872,280.7625845229151,-3.48836872,33.28093585488319,9.480000000117172e-06
57,0.2,1,-5,240.0,11.0,56,job__33_600945__240_000000__11_0,14551706,-3.55349168,283.63561232156275,-3.4851916800000002,33.60094497602181,3.7800000001197986e-06
58,0.2,1,-5,240.0,11.0,56,job__33_920954__240_000000__11_0,14551710,-3.54967209,286.35837716003005,-3.4813720900000003,33.92095391909316,0.0017207599999999879
59,0.2,1,-5,240.0,11.0,56,job__34_240963__240_000000__11_0,14551713,-3.54523867,288.9549211119459,-3.47693867,34.24096311123453,0.00163845000000018
60,0.2,1,-5,240.0,11.0,56,job__34_560972__240_000000__11_0,14551718,-3.54034097,291.6957175056349,-3.47204097,34.56097219244739,0.0015574300000000818
61,0.2,1,-5,240.0,11.0,56,job__34_880981__240_000000__11_0,14551722,-3.53486967,294.17054845980465,-3.46656967,34.88098117400507,4.679999999979145e-06
62,0.2,1,-5,240.0,11.0,56,job__35_200990__240_000000__11_0,14551729,-3.5292141,297.25394440270475,-3.4609141,35.20099001770926,0.0014081699999999309
63,0.2,1,-5,260.0,11.0,56,job__28_800810__260_000000__11_0,14551733,-3.51602736,274.3163035311796,-3.45312736,28.800810132360436,0.0036301899999999776
64,0.2,1,-5,260.0,11.0,56,job__29_120819__260_000000__11_0,14551737,-3.52603606,277.18332081142,-3.46313606,29.120818939160543,0.00016505000000011094
65,0.2,1,-5,260.0,11.0,56,job__29_440828__260_000000__11_0,14551741,-3.53471307,280.22163786626595,-3.47181307,29.440828149658053,0.003328439999999766
66,0.2,1,-5,260.0,11.0,56,job__29_760837__260_000000__11_0,14551745,-3.54213107,283.3471074380165,-3.47923107,29.76083694084091,0.0031883299999999615
67,0.2,1,-5,260.0,11.0,56,job__30_080846__260_000000__11_0,14551750,-3.54836123,286.35837716003005,-3.48546123,30.080846067068347,0.00012717000000028733
68,0.2,1,-5,260.0,11.0,56,job__30_400855__260_000000__11_0,14551754,-3.55341001,289.3335837716003,-3.49051001,30.40085492318715,0.0029744000000002657
69,0.2,1,-5,260.0,11.0,56,job__30_720864__260_000000__11_0,14551757,-3.55734819,292.1104432757325,-3.49444819,30.720864044920372,0.002854120000000293
70,0.2,1,-5,260.0,11.0,56,job__31_040873__260_000000__11_0,14551760,-3.56028696,295.37866265965437,-3.49738696,31.04087286482069,0.0027376000000001177
71,0.2,1,-5,260.0,11.0,56,job__31_360882__260_000000__11_0,14551764,-3.56228437,298.69646882043577,-3.49938437,31.360881886549734,0.002627289999999949
72,0.2,1,-5,260.0,11.0,56,job__31_680891__260_000000__11_0,14551770,-3.56339015,301.4552967693464,-3.50049015,31.68089116735626,0.002520350000000171
73,0.2,1,-5,260.0,11.0,56,job__32_000900__260_000000__11_0,14551774,-3.5636643,304.59879789631856,-3.5007643,32.000899882353664,0.0024184400000000217
74,0.2,1,-5,260.0,11.0,56,job__32_320909__260_000000__11_0,14551777,-3.56315704,307.8264462809917,-3.50025704,32.32090894216323,0.002318789999999904
75,0.2,1,-5,260.0,11.0,56,job__32_640918__260_000000__11_0,14551782,-3.56190315,310.40495867768595,-3.49900315,32.640917926556206,0.0022249099999998023
76,0.2,1,-5,260.0,11.0,56,job__32_960927__260_000000__11_0,14551785,-3.55996572,313.7137490608565,-3.49706572,32.96092694820336,0.0021328299999998634
77,0.2,1,-5,260.0,11.0,56,job__33_280936__260_000000__11_0,14551792,-3.55737862,316.9774605559729,-3.49447862,33.28093585488319,2.0929999999808047e-05
78,0.2,1,-5,260.0,11.0,56,job__33_600945__260_000000__11_0,14551796,-3.55415449,319.90308039068367,-3.49125449,33.60094497602181,0.0019588900000000464
79,0.2,1,-5,260.0,11.0,56,job__33_920954__260_000000__11_0,14551799,-3.55034227,322.7160030052592,-3.48744227,33.92095391909316,0.001876980000000028
80,0.2,1,-5,260.0,11.0,56,job__34_240963__260_000000__11_0,14551803,-3.54598295,326.2381667918858,-3.48308295,34.24096311123453,0.0017955299999998786
81,0.2,1,-5,260.0,11.0,56,job__34_560972__260_000000__11_0,14551808,-3.54109623,329.1412471825695,-3.47819623,34.56097219244739,0.00171790000000005
82,0.2,1,-5,260.0,11.0,56,job__34_880981__260_000000__11_0,14551814,-3.53571728,331.86401202103684,-3.47281728,34.88098117400507,2.112999999992482e-05
83,0.2,1,-5,260.0,11.0,56,job__35_200990__260_000000__11_0,14551819,-3.52988195,335.1818181818182,-3.46698195,35.20099001770926,0.0015696699999998565
84,0.2,1,-5,280.0,11.0,56,job__28_800810__280_000000__11_0,14551823,-3.51575285,306.58226897069875,-3.45615285,28.800810132360436,0.0035525899999999666
85,0.2,1,-5,280.0,11.0,56,job__29_120819__280_000000__11_0,14551827,-3.52571662,309.7918858001503,-3.4661166199999998,29.120818939160543,0.003397440000000085
86,0.2,1,-5,280.0,11.0,56,job__29_440828__280_000000__11_0,14551832,-3.5344369,313.3711495116454,-3.4748369,29.440828149658053,0.003249019999999714
87,0.2,1,-5,280.0,11.0,56,job__29_760837__280_000000__11_0,14551837,-3.54176797,316.36438767843725,-3.48216797,29.76083694084091,0.003109279999999881
88,0.2,1,-5,280.0,11.0,56,job__30_080846__280_000000__11_0,14551841,-3.5480109,319.90308039068367,-3.4884109,30.080846067068347,0.0029733499999999857
89,0.2,1,-5,280.0,11.0,56,job__30_400855__280_000000__11_0,14551845,-3.55308459,323.50939143501125,-3.49348459,30.40085492318715,0.0028907299999998415
90,0.2,1,-5,280.0,11.0,56,job__30_720864__280_000000__11_0,14551849,-3.55695655,326.68895567242674,-3.49735655,30.720864044920372,0.0027705099999999483
91,0.2,1,-5,280.0,11.0,56,job__31_040873__280_000000__11_0,14551853,-3.55990177,330.1870773854245,-3.50030177,31.04087286482069,0.0026527599999996987
92,0.2,1,-5,280.0,11.0,56,job__31_360882__280_000000__11_0,14551860,-3.5618973,333.61307287753567,-3.5022973,31.360881886549734,7.539000000011953e-05
93,0.2,1,-5,280.0,11.0,56,job__31_680891__280_000000__11_0,14551864,-3.56297345,336.87678437265214,-3.50337345,31.68089116735626,0.0024333000000003047
94,0.2,1,-5,280.0,11.0,56,job__32_000900__280_000000__11_0,14551867,-3.56333399,340.8076634109692,-3.5037339899999997,32.000899882353664,0.0023278600000002925
95,0.2,1,-5,280.0,11.0,56,job__32_320909__280_000000__11_0,14551872,-3.56270564,343.56649135987976,-3.50310564,32.32090894216323,0.0022320300000000515
96,0.2,1,-5,280.0,11.0,56,job__32_640918__280_000000__11_0,14551875,-3.56158677,347.68219383921866,-3.50198677,32.640917926556206,0.0021346399999999655
97,0.2,1,-5,280.0,11.0,56,job__32_960927__280_000000__11_0,14551880,-3.55951449,350.36589030803907,-3.49991449,32.96092694820336,0.0020434400000000075
98,0.2,1,-5,280.0,11.0,56,job__33_280936__280_000000__11_0,14551886,-3.55695479,354.0082644628099,-3.4973547899999997,33.28093585488319,4.0900000000121395e-06
99,0.2,1,-5,280.0,11.0,56,job__33_600945__280_000000__11_0,14551890,-3.55373814,357.45229151014274,-3.49413814,33.60094497602181,4.220000000110247e-06
100,0.2,1,-5,280.0,11.0,56,job__33_920954__280_000000__11_0,14551894,-3.54999456,361.22088655146507,-3.49039456,33.92095391909316,4.689999999918371e-06
101,0.2,1,-5,280.0,11.0,56,job__34_240963__280_000000__11_0,14551898,-3.54560091,364.44853493613823,-3.48600091,34.24096311123453,0.001701269999999866
102,0.2,1,-5,280.0,11.0,56,job__34_560972__280_000000__11_0,14551903,-3.54068829,367.67618332081145,-3.4810882899999998,34.56097219244739,0.001623330000000145
103,0.2,1,-5,280.0,11.0,56,job__34_880981__280_000000__11_0,14551910,-3.53532939,371.17430503380916,-3.4757293899999997,34.88098117400507,3.019999999986922e-05
104,0.2,1,-5,280.0,11.0,56,job__35_200990__280_000000__11_0,14551913,-3.52944717,374.39444027047335,-3.46984717,35.20099001770926,0.0014732199999998308
105,0.2,1,-5,300.0,11.0,56,job__28_800810__300_000000__11_0,14551916,-3.51619311,339.77986476333587,-3.4663931100000003,28.800810132360436,0.0034105300000000227
106,0.2,1,-5,300.0,11.0,56,job__29_120819__300_000000__11_0,14551921,-3.52618656,343.56649135987976,-3.4763865600000003,29.120818939160543,0.0032526599999997963
107,0.2,1,-5,300.0,11.0,56,job__29_440828__300_000000__11_0,14551927,-3.53496722,347.68219383921866,-3.48516722,29.440828149658053,0.003103349999999949
