,sigma,Ag_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
34,0.2,1,-5,220.0,11.0,56,job__18_373449__220_000000__11_0,14537796,20.09534329,136.15552216378663,34.25924329,18.37344896277561,0.0465425299999999
35,0.2,1,-5,220.0,11.0,56,job__18_551832__220_000000__11_0,14537797,19.76582078,137.6701728024042,33.92972078,18.551831923459275,0.0483032800000025
36,0.2,1,-5,220.0,11.0,56,job__18_730215__220_000000__11_0,14537798,20.06969623,138.75657400450788,34.23359623,18.730214899277904,0.0009572300000009
37,0.2,1,-5,220.0,11.0,56,job__18_908598__220_000000__11_0,14537799,20.03962581,140.07287753568744,34.20352581,18.90859807570966,0.051224659999999
38,0.2,1,-5,220.0,11.0,56,job__19_086981__220_000000__11_0,14537800,20.16062031,141.31705484598046,34.32452031,19.08698102554078,0.0528505800000012
39,0.2,1,-5,220.0,11.0,56,job__19_265364__220_000000__11_0,14537801,19.96578765,142.80465815176558,34.12968765,19.265364031895256,0.0548220800000009
40,0.2,1,-5,220.0,11.0,56,job__19_443747__220_000000__11_0,14537802,19.8349629,144.22915101427498,33.9988629,19.44374700200359,0.0566070699999983
41,0.2,1,-5,220.0,11.0,56,job__19_622130__220_000000__11_0,14537803,19.86046386,145.50939143501128,34.02436386,19.622129990663197,0.058793099999999
42,0.2,1,-5,240.0,11.0,56,job__16_054470__240_000000__11_0,14537804,7.58314711,135.6145755071375,15.79604711,16.05446993531393,0.0001657799999996
43,0.2,1,-5,240.0,11.0,56,job__16_232853__240_000000__11_0,14537805,7.50525827,137.1472577009767,15.71815827,16.23285302914787,0.0367922400000004
44,0.2,1,-5,240.0,11.0,56,job__16_411236__240_000000__11_0,14537806,7.48326657,138.6123215627348,15.69616657,16.41123592672458,0.0379669300000005
45,0.2,1,-5,240.0,11.0,56,job__16_589619__240_000000__11_0,14537807,7.46692361,140.07287753568744,15.67982361,16.589619028576752,0.1093589899999996
46,0.2,1,-5,240.0,11.0,56,job__16_768002__240_000000__11_0,14537808,7.56271102,141.44327573253193,15.77561102,16.768001949930003,0.0403524099999996
