,sigma,Ir_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
0,0.2,1,-5,200.0,11.0,56,job__13_039920__200_000000__11_0,14541408,-2.40257465,83.80691209616829,14.15542535,13.039920074055445,0.0016604600000000858
1,0.2,1,-5,200.0,11.0,56,job__13_184808__200_000000__11_0,14541415,-2.38561224,84.72652141247183,14.17238776,13.184807943523353,3.213000000013011e-05
2,0.2,1,-5,200.0,11.0,56,job__13_329696__200_000000__11_0,14541417,-2.44218909,85.70022539444027,14.11581091,13.329696018884235,3.043000000024776e-05
3,0.2,1,-5,200.0,11.0,56,job__13_474584__200_000000__11_0,14541419,-2.31780719,86.51164537941398,14.24019281,13.47458391231667,0.17953307000000018
4,0.2,1,-5,200.0,11.0,56,job__13_619472__200_000000__11_0,14541424,-2.11143098,87.24643125469572,14.44656902,13.619471999757408,0.0015584199999998383
5,0.2,1,-5,200.0,11.0,56,job__13_764360__200_000000__11_0,14541426,-2.25569078,88.32832456799399,14.30230922,13.764359906920996,0.17858932999999988
6,0.2,1,-5,200.0,11.0,56,job__13_909248__200_000000__11_0,14541428,-2.56216791,89.55447032306536,13.99583209,13.909247991834121,0.35633500000000007
7,0.2,1,-5,200.0,11.0,56,job__14_054136__200_000000__11_0,14541432,-2.40504561,90.35386927122464,14.15295439,14.054136029839507,0.0013004599999999478
8,0.2,1,-5,200.0,11.0,56,job__14_199024__200_000000__11_0,14541433,-2.40329253,91.29151014274981,14.15470747,14.199024060447286,0.34919593000000004
9,0.2,1,-5,200.0,11.0,56,job__14_343912__200_000000__11_0,14541435,-2.36226567,92.17505634861007,14.19573433,14.343911931818813,0.001110279999999797
10,0.2,1,-5,200.0,11.0,56,job__14_488800__200_000000__11_0,14541437,-2.18257519,92.9504132231405,14.37542481,14.488799950481377,0.3462612899999997
11,0.2,1,-5,200.0,11.0,56,job__14_633688__200_000000__11_0,14541440,-2.24046672,93.94214876033058,14.31753328,14.633687975199452,0.18340054000000006
12,0.2,1,-5,200.0,11.0,56,job__14_778576__200_000000__11_0,14541443,-2.2431835,94.89782118707738,14.3148165,14.778576068418321,0.18433109999999964
13,0.2,1,-5,200.0,11.0,56,job__14_923464__200_000000__11_0,14541444,-2.24611103,95.83546205860256,14.31188897,14.92346402915186,2.797999999959444e-05
14,0.2,1,-5,200.0,11.0,56,job__15_068352__200_000000__11_0,14541446,-2.0449038,96.59278737791135,14.5130962,15.068352061095965,0.32966092999999974
15,0.2,1,-5,200.0,11.0,56,job__15_213240__200_000000__11_0,14541447,-2.29202743,97.78287002253944,14.265972569999999,15.213240075089548,0.000358400000000092
16,0.2,1,-5,200.0,11.0,56,job__15_358128__200_000000__11_0,14541458,-2.32692077,98.7610818933133,14.231079229999999,15.358127899215242,0.1783369800000001
17,0.2,1,-5,200.0,11.0,56,job__15_503016__200_000000__11_0,14541461,-2.37611294,99.75281743050338,14.18188706,15.50301596788761,0.00038000999999976415
18,0.2,1,-5,200.0,11.0,56,job__15_647904__200_000000__11_0,14541465,-2.31682885,100.62434259954921,14.24117115,15.647903909171479,0.3032681100000003
