,sigma,Pb_d,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
16,0.2,1,-5,200.0,11.0,56,job__33_920954__200_000000__11_0,14551528,-3.41850189,217.7287753568745,-3.05230189,33.92095391909316,0.0095359300000001
17,0.2,1,-5,200.0,11.0,56,job__34_240963__200_000000__11_0,14551531,-3.40908043,219.54996243425995,-3.04288043,34.24096311123453,0.0092208799999999
18,0.2,1,-5,200.0,11.0,56,job__34_560972__200_000000__11_0,14551534,-3.41548326,222.16453794139744,-3.04928326,34.56097219244739,0.0006357999999999
19,0.2,1,-5,200.0,11.0,56,job__34_880981__200_000000__11_0,14551540,-3.4047229,223.9496619083396,-3.0385229,34.88098117400507,0.0084761499999999
20,0.2,1,-5,200.0,11.0,56,job__35_200990__200_000000__11_0,14551545,-3.39582485,225.8489857250188,-3.02962485,35.20099001770926,0.0006907499999999
21,0.2,1,-5,220.0,11.0,56,job__28_800810__220_000000__11_0,14551548,-3.49569447,213.41021788129223,-3.3753944700000003,28.80081013236044,0.0001221099999999
22,0.2,1,-5,220.0,11.0,56,job__29_120819__220_000000__11_0,14551553,-3.50634906,215.862509391435,-3.38604906,29.120818939160543,0.0027996900000002
23,0.2,1,-5,220.0,11.0,56,job__29_440828__220_000000__11_0,14551558,-3.51394954,218.01728024042075,-3.39364954,29.440828149658053,8.720999999978218e-05
24,0.2,1,-5,220.0,11.0,56,job__29_760837__220_000000__11_0,14551563,-3.52249699,220.59579263711493,-3.40219699,29.76083694084091,0.0024801
25,0.2,1,-5,220.0,11.0,56,job__30_080846__220_000000__11_0,14551568,-3.52930794,223.06611570247927,-3.40900794,30.080846067068347,5.633999999998807e-05
26,0.2,1,-5,220.0,11.0,56,job__30_400855__220_000000__11_0,14551572,-3.53356223,225.2719759579264,-3.41326223,30.40085492318715,3.900000000012227e-05
27,0.2,1,-5,220.0,11.0,56,job__30_720864__220_000000__11_0,14551577,-3.53735671,227.60255447032307,-3.41705671,30.72086404492037,2.3360000000138825e-05
28,0.2,1,-5,220.0,11.0,56,job__31_040873__220_000000__11_0,14551580,-3.54121273,230.145003756574,-3.42091273,31.04087286482069,9.32000000020139e-06
29,0.2,1,-5,220.0,11.0,56,job__31_360882__220_000000__11_0,14551585,-3.54152884,232.16453794139744,-3.42122884,31.36088188654973,8.399999997799057e-07
30,0.2,1,-5,220.0,11.0,56,job__31_680891__220_000000__11_0,14551589,-3.54329775,234.65289256198344,-3.42299775,31.68089116735626,2.0499999999756824e-05
31,0.2,1,-5,220.0,11.0,56,job__32_000900__220_000000__11_0,14551594,-3.54274618,236.87077385424493,-3.42244618,32.000899882353664,0.00158974
32,0.2,1,-5,220.0,11.0,56,job__32_320909__220_000000__11_0,14551599,-3.54521645,239.8459804658152,-3.42491645,32.32090894216323,0.00149664
33,0.2,1,-5,220.0,11.0,56,job__32_640918__220_000000__11_0,14551602,-3.54129161,241.64913598797887,-3.42099161,32.640917926556206,6.234999999987778e-05
34,0.2,1,-5,220.0,11.0,56,job__32_960927__220_000000__11_0,14551606,-3.54063215,244.2877535687453,-3.42033215,32.96092694820336,0.0012704000000001
35,0.2,1,-5,220.0,11.0,56,job__33_280936__220_000000__11_0,14551611,-3.53571151,246.17205108940647,-3.41541151,33.28093585488319,0.0011524600000001
36,0.2,1,-5,220.0,11.0,56,job__33_600945__220_000000__11_0,14551615,-3.53426356,248.9353869271225,-3.41396356,33.60094497602181,0.0010682000000001
37,0.2,1,-5,220.0,11.0,56,job__33_920954__220_000000__11_0,14551622,-3.52982173,251.1712997746056,-3.4095217300000003,33.92095391909316,0.0009673499999998
38,0.2,1,-5,220.0,11.0,56,job__34_240963__220_000000__11_0,14551625,-3.5261715,253.6957175056349,-3.4058715,34.24096311123453,0.0008802700000001
39,0.2,1,-5,220.0,11.0,56,job__34_560972__220_000000__11_0,14551629,-3.52248298,256.3463561232156,-3.40218298,34.56097219244739,0.0007993399999999
40,0.2,1,-5,220.0,11.0,56,job__34_880981__220_000000__11_0,14551634,-3.5159577,258.4740796393689,-3.3956577,34.88098117400507,0.00070214
41,0.2,1,-5,220.0,11.0,56,job__35_200990__220_000000__11_0,14551639,-3.51103995,261.0886551465064,-3.39073995,35.20099001770926,0.0006231300000001
42,0.2,1,-5,240.0,11.0,56,job__28_800810__240_000000__11_0,14551644,-3.51545801,243.49436513899323,-3.4471580100000003,28.80081013236044,0.0001746599999998
43,0.2,1,-5,240.0,11.0,56,job__29_120819__240_000000__11_0,14551647,-3.52503455,245.49586776859505,-3.45673455,29.120818939160543,0.0033520999999998
44,0.2,1,-5,240.0,11.0,56,job__29_440828__240_000000__11_0,14551652,-3.53393821,248.5206611570248,-3.4656382100000003,29.440828149658053,0.0032047799999999
45,0.2,1,-5,240.0,11.0,56,job__29_760837__240_000000__11_0,14551657,-3.5413513,251.1712997746056,-3.4730513000000003,29.76083694084091,0.0030616000000001
46,0.2,1,-5,240.0,11.0,56,job__30_080846__240_000000__11_0,14551661,-3.54759602,253.82193839218635,-3.47929602,30.080846067068347,0.0029251299999999
47,0.2,1,-5,240.0,11.0,56,job__30_400855__240_000000__11_0,14551667,-3.55263515,256.4365138993238,-3.48433515,30.40085492318715,0.0028422300000001
48,0.2,1,-5,240.0,11.0,56,job__30_720864__240_000000__11_0,14551671,-3.55679027,259.4297520661157,-3.48849027,30.72086404492037,0.00271992
49,0.2,1,-5,240.0,11.0,56,job__31_040873__240_000000__11_0,14551674,-3.55957626,261.8519909842224,-3.49127626,31.04087286482069,0.00259863
50,0.2,1,-5,240.0,11.0,56,job__31_360882__240_000000__11_0,14551678,-3.56181698,264.93538692712247,-3.4935169800000003,31.36088188654973,0.0024896299999999
51,0.2,1,-5,240.0,11.0,56,job__31_680891__240_000000__11_0,14551682,-3.56283275,267.45980465815177,-3.4945327500000003,31.68089116735626,0.0023799799999997
52,0.2,1,-5,240.0,11.0,56,job__32_000900__240_000000__11_0,14551686,-3.56310857,270.114951164538,-3.49480857,32.000899882353664,0.00227448
53,0.2,1,-5,240.0,11.0,56,job__32_320909__240_000000__11_0,14551690,-3.56268534,272.9819684447784,-3.49438534,32.32090894216323,3.991000000036493e-05
54,0.2,1,-5,240.0,11.0,56,job__32_640918__240_000000__11_0,14551693,-3.5614514,275.68670172802405,-3.4931514000000004,32.640917926556206,0.00207822
55,0.2,1,-5,240.0,11.0,56,job__32_960927__240_000000__11_0,14551697,-3.55933472,278.12997746055595,-3.49103472,32.96092694820336,0.0019816000000001
56,0.2,1,-5,240.0,11.0,56,job__33_280936__240_000000__11_0,14551700,-3.55666872,280.7625845229151,-3.48836872,33.28093585488319,9.480000000117172e-06
57,0.2,1,-5,240.0,11.0,56,job__33_600945__240_000000__11_0,14551706,-3.55349168,283.63561232156275,-3.48519168,33.60094497602181,3.780000000119799e-06
58,0.2,1,-5,240.0,11.0,56,job__33_920954__240_000000__11_0,14551710,-3.54967209,286.35837716003005,-3.4813720900000003,33.92095391909316,0.0017207599999999
59,0.2,1,-5,240.0,11.0,56,job__34_240963__240_000000__11_0,14551713,-3.54523867,288.9549211119459,-3.47693867,34.24096311123453,0.0016384500000001
60,0.2,1,-5,240.0,11.0,56,job__34_560972__240_000000__11_0,14551718,-3.54034097,291.6957175056349,-3.47204097,34.56097219244739,0.00155743
61,0.2,1,-5,240.0,11.0,56,job__34_880981__240_000000__11_0,14551722,-3.53486967,294.17054845980465,-3.46656967,34.88098117400507,4.679999999979145e-06
62,0.2,1,-5,240.0,11.0,56,job__35_200990__240_000000__11_0,14551729,-3.5292141,297.25394440270475,-3.4609141,35.20099001770926,0.0014081699999999
63,0.2,1,-5,260.0,11.0,56,job__28_800810__260_000000__11_0,14551733,-3.51602736,274.3163035311796,-3.45312736,28.80081013236044,0.0036301899999999
64,0.2,1,-5,260.0,11.0,56,job__29_120819__260_000000__11_0,14551737,-3.52603606,277.18332081142,-3.46313606,29.120818939160543,0.0001650500000001
65,0.2,1,-5,260.0,11.0,56,job__29_440828__260_000000__11_0,14551741,-3.53471307,280.22163786626595,-3.47181307,29.440828149658053,0.0033284399999997
66,0.2,1,-5,260.0,11.0,56,job__29_760837__260_000000__11_0,14551745,-3.54213107,283.3471074380165,-3.47923107,29.76083694084091,0.0031883299999999
67,0.2,1,-5,260.0,11.0,56,job__30_080846__260_000000__11_0,14551750,-3.54836123,286.35837716003005,-3.48546123,30.080846067068347,0.0001271700000002
68,0.2,1,-5,260.0,11.0,56,job__30_400855__260_000000__11_0,14551754,-3.55341001,289.3335837716003,-3.49051001,30.40085492318715,0.0029744000000002
69,0.2,1,-5,260.0,11.0,56,job__30_720864__260_000000__11_0,14551757,-3.55734819,292.1104432757325,-3.49444819,30.72086404492037,0.0028541200000002
70,0.2,1,-5,260.0,11.0,56,job__31_040873__260_000000__11_0,14551760,-3.56028696,295.3786626596544,-3.49738696,31.04087286482069,0.0027376000000001
71,0.2,1,-5,260.0,11.0,56,job__31_360882__260_000000__11_0,14551764,-3.56228437,298.69646882043577,-3.49938437,31.36088188654973,0.0026272899999999
72,0.2,1,-5,260.0,11.0,56,job__31_680891__260_000000__11_0,14551770,-3.56339015,301.4552967693464,-3.50049015,31.68089116735626,0.0025203500000001
73,0.2,1,-5,260.0,11.0,56,job__32_000900__260_000000__11_0,14551774,-3.5636643,304.59879789631856,-3.5007643,32.000899882353664,0.00241844
74,0.2,1,-5,260.0,11.0,56,job__32_320909__260_000000__11_0,14551777,-3.56315704,307.8264462809917,-3.50025704,32.32090894216323,0.0023187899999999
