,sigma,Ca_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
53,0.2,1,-5,240.0,11.0,56,job__42_556956__240_000000__11_0,14541474,-6.73715227,359.11119459053344,-6.16475227,42.556956149775516,0.00018686999999939502
54,0.2,1,-5,240.0,11.0,56,job__42_978312__240_000000__11_0,14541478,-6.73872987,362.8617580766341,-6.16632987,42.97831196556285,0.00019662999999958686
55,0.2,1,-5,240.0,11.0,56,job__43_399668__240_000000__11_0,14541481,-6.73667148,366.35987978963186,-6.16427148,43.39966800570243,0.000201979999999935
56,0.2,1,-5,240.0,11.0,56,job__43_821024__240_000000__11_0,14541485,-6.73067514,369.60555972952665,-6.15827514,43.821023905940436,0.0002085900000006191
57,0.2,1,-5,240.0,11.0,56,job__44_242380__240_000000__11_0,14541489,-6.73392055,373.63711495116456,-6.16152055,44.242379977316475,0.0002171900000007554
58,0.2,1,-5,240.0,11.0,56,job__44_663736__240_000000__11_0,14541493,-6.73457052,377.45980465815177,-6.16217052,44.66373623576788,0.0002276900000000026
59,0.2,1,-5,240.0,11.0,56,job__45_085092__240_000000__11_0,14541497,-6.72471839,380.48910593538693,-6.15231839,45.08509187473613,0.00023540000000021877
60,0.2,1,-5,240.0,11.0,56,job__45_506448__240_000000__11_0,14541500,-6.7272894,384.5281743050338,-6.1548894,45.50644809268554,0.00023457999999987322
61,0.2,1,-5,240.0,11.0,56,job__45_927804__240_000000__11_0,14541503,-6.7160906,387.4673178061608,-6.1436906,45.92780424153807,0.00024328999999934098
62,0.2,1,-5,240.0,11.0,56,job__46_349160__240_000000__11_0,14541507,-6.71315459,391.1367392937641,-6.14075459,46.3491601728603,0.00025175999999937915
63,0.2,1,-5,260.0,11.0,56,job__37_922040__260_000000__11_0,14541511,-6.79406484,361.22088655146507,-6.53956484,37.92204012086599,0.00012173999999998131
64,0.2,1,-5,260.0,11.0,56,job__38_343396__260_000000__11_0,14541515,-6.79803529,365.0435762584523,-6.5435352899999994,38.3433960584714,0.00012833000000078698
65,0.2,1,-5,260.0,11.0,56,job__38_764752__260_000000__11_0,14541518,-6.80382187,369.29902329075884,-6.54932187,38.76475179313074,0.00015548000000009665
66,0.2,1,-5,260.0,11.0,56,job__39_186108__260_000000__11_0,14541522,-6.80520622,372.91134485349363,-6.5507062199999995,39.18610790777517,0.00016597000000029283
67,0.2,1,-5,260.0,11.0,56,job__39_607464__260_000000__11_0,14541526,-6.81045936,377.26145755071377,-6.55595936,39.60746399404696,0.00018074999999928565
68,0.2,1,-5,260.0,11.0,56,job__40_028820__260_000000__11_0,14541532,-6.81167107,381.0120210368144,-6.55717107,40.028819879660865,0.00018770999999961901
69,0.2,1,-5,260.0,11.0,56,job__40_450176__260_000000__11_0,14541546,-6.81308605,384.87077385424493,-6.55858605,40.45017602158933,7.979000000002401e-05
70,0.2,1,-5,260.0,11.0,56,job__40_871532__260_000000__11_0,14541550,-6.81580011,389.0901577761082,-6.5613001099999995,40.8715321241908,0.00017778000000046035
71,0.2,1,-5,260.0,11.0,56,job__41_292888__260_000000__11_0,14541553,-6.81803449,393.35462058602553,-6.563534489999999,41.292887959934625,0.00018711000000060096
72,0.2,1,-5,260.0,11.0,56,job__41_714244__260_000000__11_0,14541556,-6.81639048,396.97896318557474,-6.56189048,41.71424377296478,0.00018986999999981435
73,0.2,1,-5,260.0,11.0,56,job__42_135600__260_000000__11_0,14541560,-6.81940157,401.5469571750563,-6.56490157,42.135599785982734,0.0001958899999996433
74,0.2,1,-5,260.0,11.0,56,job__42_556956__260_000000__11_0,14541564,-6.81796176,405.3921863260706,-6.56346176,42.556956149775516,0.00020160999999951912
75,0.2,1,-5,260.0,11.0,56,job__42_978312__260_000000__11_0,14541568,-6.81483609,408.98046581517656,-6.56033609,42.97831196556285,0.00021011000000026314
76,0.2,1,-5,260.0,11.0,56,job__43_399668__260_000000__11_0,14541572,-6.81424022,413.12772351615325,-6.55974022,43.39966800570243,0.00021974999999940792
77,0.2,1,-5,260.0,11.0,56,job__43_821024__260_000000__11_0,14541575,-6.81221098,417.07663410969195,-6.5577109799999995,43.821023905940436,0.00022490000000008337
78,0.2,1,-5,260.0,11.0,56,job__44_242380__260_000000__11_0,14541578,-6.81033844,421.13373403456046,-6.55583844,44.242379977316475,0.0002362200000005643
79,0.2,1,-5,260.0,11.0,56,job__44_663736__260_000000__11_0,14541583,-6.80793517,425.08865514650637,-6.55343517,44.66373623576788,0.00024739999999923157
80,0.2,1,-5,260.0,11.0,56,job__45_085092__260_000000__11_0,14541586,-6.80577494,429.21788129226144,-6.55127494,45.08509187473613,0.0002557000000003029
81,0.2,1,-5,260.0,11.0,56,job__45_506448__260_000000__11_0,14541591,-6.80152464,432.98647633358377,-6.54702464,45.50644809268554,0.00026743000000006845
