,sigma,Al_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
0,0.2,1,-5,200.0,11.0,56,job__14_811120__200_000000__11_0,14537167,-3.69427114,95.1863260706236,-3.6903711400000003,14.811120005160477,0.026528490000000016
1,0.2,1,-5,200.0,11.0,56,job__14_975688__200_000000__11_0,14537168,-3.70450399,96.17806160781367,-3.7006039900000003,14.975687943223765,0.026111059999999853
2,0.2,1,-5,200.0,11.0,56,job__15_140256__200_000000__11_0,14537169,-3.71341023,97.02554470323065,-3.7095102300000002,15.1402559281593,0.025719039999999804
3,0.2,1,-5,200.0,11.0,56,job__15_304824__200_000000__11_0,14537170,-3.72105562,98.32381667918858,-3.71715562,15.304824014040012,0.025357249999999887
4,0.2,1,-5,200.0,11.0,56,job__15_469392__200_000000__11_0,14537171,-3.72747653,99.572501878287,-3.7235765300000003,15.46939195324227,0.025023660000000003
5,0.2,1,-5,200.0,11.0,56,job__15_633960__200_000000__11_0,14537172,-3.73274218,100.49812171299774,-3.72884218,15.633960106125867,0.024711110000000147
6,0.2,1,-5,200.0,11.0,56,job__15_798528__200_000000__11_0,14537173,-3.73689526,101.58001502629602,-3.73299526,15.7985280109301,0.024422840000000168
7,0.2,1,-5,200.0,11.0,56,job__15_963096__200_000000__11_0,14537174,-3.73999894,102.31930879038318,-3.73609894,15.963096009423694,0.024156650000000113
8,0.2,1,-5,200.0,11.0,56,job__16_127664__200_000000__11_0,14537175,-3.74219263,103.58151765589783,-3.73829263,16.127664046770466,0.023904040000000126
9,0.2,1,-5,200.0,11.0,56,job__16_292232__200_000000__11_0,14537176,-3.74359849,104.83471074380165,-3.7396984900000003,16.292231879585028,0.010054409999999958
10,0.2,1,-5,200.0,11.0,56,job__16_456800__200_000000__11_0,14537177,-3.74408293,105.664162283997,-3.74018293,16.456800027713822,0.02344877000000034
